sa2_code_2021,sa2_name_2021,state_name_2021,area_albers_sqkm,median_equivalised_household_income_weekly_2021,median_total_income_excl_gov_allowances_2020,mean_total_income_excl_gov_allowances_2020,gini_total_income_excl_gov_allowances_2020,income_share_top_1pct_2020,income_share_top_5pct_2020,income_share_top_10pct_2020
125041589,Wentworthville - Westmead,New South Wales,3.9355,1223,57013,66350,0.423,4.9,15.8,26.6
125021711,Carlingford - East,New South Wales,3.7288,1165,,,,,,
125021712,Carlingford - West,New South Wales,6.0167,1155,,,,,,
125031479,Chester Hill - Sefton,New South Wales,7.2676,737,41993,49158,0.44,4.7,16.5,27.7
125031480,Fairfield - East,New South Wales,5.7115,666,43240,47763,0.411,4.7,15.7,26.2
125031487,Yennora Industrial,New South Wales,2.0787,575,50690,59259,,,,
125031481,Granville - Clyde,New South Wales,5.6086,889,38112,46525,0.432,5.3,17,28.2
125031483,Guildford - South Granville,New South Wales,6.7962,644,39634,47689,0.431,5.1,16.8,27.9
125031486,Smithfield Industrial,New South Wales,4.3017,1312,71174,89658,,,,
125031714,Merrylands - Holroyd,New South Wales,4.9525,850,,,,,,
125031715,Pemulwuy - Greystanes (North),New South Wales,7.3982,1236,,,,,,
125031716,South Wentworthville,New South Wales,1.7661,953,,,,,,
125041489,North Parramatta,New South Wales,7.0608,1216,58174,65983,0.417,5.5,16.3,26.8
125041494,Winston Hills,New South Wales,4.3479,1309,60097,71914,0.449,5.7,17.4,28.5
125041490,North Rocks,New South Wales,5.3762,1331,55862,71828,0.479,6.3,19.2,31.1
125041491,Northmead,New South Wales,5.9331,1283,60360,69484,0.42,5,16.1,26.7
125041493,Toongabbie - Constitution Hill,New South Wales,7.4795,1117,54659,62850,0.429,5,16.4,27.4
125041588,Pendle Hill - Girraween,New South Wales,4.4615,1107,55182,63650,0.416,5.4,16.3,27
125041717,Parramatta - North,New South Wales,2.2343,1417,,,,,,
125041718,Parramatta - South,New South Wales,1.3881000000000001,1143,,,,,,
125041719,Rosehill - Harris Park,New South Wales,4.8739,1097,,,,,,
126011496,Pennant Hills - Cheltenham,New South Wales,13.2936,1549,61019,87869,0.536,9.9,24.8,37
126011721,Epping (NSW) - West,New South Wales,4.4886,1302,,,,,,
126011720,Epping (East) - North Epping,New South Wales,4.3922,1436,,,,,,
126021500,Macquarie Park - Marsfield,New South Wales,10.6718,1273,52238,64332,0.473,5.7,18.1,29.7
126021498,Gladesville - Huntleys Point,New South Wales,4.7162,1594,69328,100483,0.531,12.9,28.1,39.5
126021499,Hunters Hill - Woolwich,New South Wales,4.1512,1901,76214,155266,0.654,19.5,39.4,52
126021501,North Ryde - East Ryde,New South Wales,6.2231,1477,60755,79224,0.486,7.1,20.7,32.5
126021725,Ryde - South,New South Wales,1.5584,1458,,,,,,
126021503,West Ryde - Meadowbank,New South Wales,4.7923,1293,56957,68271,0.452,6.3,18.4,29.4
126021590,Putney,New South Wales,1.5194,1607,64021,99461,0.547,11.6,28.1,40.1
126021722,Denistone,New South Wales,2.5272,1385,,,,,,
126021723,Eastwood,New South Wales,5.293,1112,,,,,,
126021724,Ryde - North,New South Wales,5.7097999999999995,1179,,,,,,
127011504,Ashcroft - Busby - Miller,New South Wales,5.463,570,44082,46707,0.391,4.1,14.4,24.5
127011505,Austral - Greendale,New South Wales,110.715,1067,51121,63493,0.454,10.5,21.6,31.6
127021509,Bonnyrigg Heights - Bonnyrigg,New South Wales,5.1887,792,49045,53819,0.401,5.1,15.6,26
127011592,Badgerys Creek,New South Wales,17.5774,1187,56655,53093,,,,
127011593,Cecil Hills,New South Wales,3.7478,1104,54997,65384,0.427,6.5,18.3,29
127011594,Green Valley,New South Wales,3.2145,860,49603,53887,0.386,4,14.3,24.7
127011595,Hinchinbrook,New South Wales,5.225,971,52172,58095,0.393,4.6,15.2,25.5
127011596,Hoxton Park - Carnes Hill - Horningsea Park,New South Wales,4.1265,1081,56941,62037,0.368,3.7,13.7,23.8
127011597,West Hoxton - Middleton Grange,New South Wales,9.2627,1155,57155,65571,0.401,6,16.8,27
127011726,Cobbitty - Bringelly,New South Wales,73.8658,1245,,,,,,
127011727,Gledswood Hills - Gregory Hills,New South Wales,8.7234,1399,,,,,,
127011728,Leppington - Catherine Field,New South Wales,36.3552,1163,,,,,,
127021517,Greenfield Park - Prairiewood,New South Wales,3.6367000000000003,748,48133,54166,0.424,4.7,16.2,27
127011729,Oran Park,New South Wales,13.2477,1233,,,,,,
127021520,St Johns Park - Wakeley,New South Wales,3.6111,802,47632,53980,0.427,5.5,16.6,27.4
127021510,Bossley Park - Abbotsbury,New South Wales,9.5147,882,51071,60167,0.433,6.3,17.9,28.6
127021511,Cabramatta - Lansvale,New South Wales,7.5964,676,40552,45510,0.421,4.8,16.2,27.1
127021512,Cabramatta West - Mount Pritchard,New South Wales,5.3429,737,45755,50418,0.402,4.5,15.3,25.8
127021513,Canley Vale - Canley Heights,New South Wales,5.4161,724,43286,48397,0.417,4.9,16.1,26.8
127031523,Chipping Norton - Moorebank,New South Wales,14.4902,1123,56503,65250,0.428,6,17.5,28.1
127021514,Edensor Park,New South Wales,3.0955,874,50189,57194,0.418,5.6,16.8,27.5
127021515,Fairfield,New South Wales,4.2304,620,42760,48247,0.417,4.6,15.7,26.5
127021516,Fairfield - West,New South Wales,4.6915,690,43215,49176,0.417,4.6,15.7,26.6
127021518,Horsley Park - Kemps Creek,New South Wales,56.2773,1170,54728,77283,0.512,11.2,25.8,37.2
127031730,Edmondson Park,New South Wales,6.0563,1338,,,,,,
127021519,Smithfield - Wetherill Park,New South Wales,6.6123,732,47906,54202,0.418,5,16,26.7
127021521,Wetherill Park Industrial,New South Wales,8.5567,725,68926,85065,,,,
127031522,Casula,New South Wales,7.072,923,52718,59235,0.408,5.3,16.3,26.7
127031524,Holsworthy - Wattle Grove,New South Wales,73.7001,1321,63882,71145,0.399,5.7,16.4,26.4
127031731,Liverpool - East,New South Wales,2.2601,891,,,,,,
127031599,Lurnea - Cartwright,New South Wales,3.4665,615,45915,49480,0.397,4.1,14.7,25.1
127031601,Warwick Farm,New South Wales,4.6501,744,48262,52536,0.395,4.5,14.9,25.2
127031732,Liverpool - West,New South Wales,4.0583,693,,,,,,
128011602,Caringbah,New South Wales,3.9959,1247,62145,72284,0.422,6.2,17.6,28.1
127031733,Prestons,New South Wales,9.2311,1098,,,,,,
128011529,Gymea - Grays Point,New South Wales,5.7978000000000005,1419,62373,79971,0.465,7.9,20.5,31.7
128021608,Loftus - Yarrawarrah,New South Wales,3.8436,1354,60469,73218,0.435,5.1,17.1,28.1
128011530,Miranda - Yowie Bay,New South Wales,5.9968,1232,56856,72227,0.467,7.7,20.5,31.7
128011531,Sylvania - Taren Point,New South Wales,6.0595,1163,53600,79800,0.541,14.9,28.7,39.7
128011603,Caringbah South,New South Wales,4.0699,1477,63131,89725,0.516,9.7,24.7,36.5
128011604,Cronulla - Kurnell - Bundeena,New South Wales,25.0865,1419,62483,84972,0.497,11.4,25.4,36.2
128011605,Lilli Pilli - Port Hacking - Dolans Bay,New South Wales,1.2706,1772,64892,112376,0.586,15.4,33.4,45.2
128011606,Woolooware - Burraneer,New South Wales,3.3282,1599,67009,98734,0.526,12,28.4,39.2
128021533,Heathcote - Waterfall,New South Wales,27.6162,1256,59701,69182,0.42,4.6,15.9,26.7
128021534,Illawong - Alfords Point,New South Wales,7.2978,1458,61584,79865,0.486,10.1,22.7,33.7
128021535,Menai - Lucas Heights - Woronora,New South Wales,33.4046,1432,62045,76570,0.447,7.3,19.3,30.2
128021536,Oyster Bay - Como - Jannali,New South Wales,8.9053,1487,64428,83285,0.478,8,21.1,32.4
128021537,Royal National Park,New South Wales,139.3336,1062,38956,61645,,,,
128021538,Sutherland - Kirrawee,New South Wales,7.755,1311,62453,71105,0.413,5.4,16.5,27
128021609,Woronora Heights,New South Wales,3.1374,1569,63811,79203,0.452,6.8,19,30
197979799,Migratory - Offshore - Shipping (NSW),New South Wales,,,,,,,,
199999499,No usual address (NSW),New South Wales,,,,,,,,
128021607,Engadine,New South Wales,8.9538,1256,60914,70158,0.416,4.9,15.9,26.5
